project,tool,aggregation,completeness_score,atrak_score,title_score,overview_score,installation_score,usage_score,api_score,license_score,correctness_score,winner_correctness
axios,README-Gen,mean,100.0,100.0,100.0,100.0,100.0,89.68,89.77,100.0,96.58,README-Gen
axios,README-Gen,best,100.0,100.0,100.0,100.0,100.0,100.0,90.91,100.0,98.48,
axios,README-Gen,worst,100.0,100.0,100.0,100.0,100.0,85.71,87.5,100.0,95.54,
axios,README-AI,single,85.71,100.0,100.0,100.0,100.0,50.0,0.0,33.33,63.89,README-Gen
