project,tool,aggregation,completeness_score,atrak_score,title_score,overview_score,installation_score,usage_score,api_score,license_score,correctness_score,winner_correctness
notes-cli,README-Gen,mean,100.0,100.0,100.0,60.0,40.0,6.67,14.29,100.0,53.49,README-Gen
notes-cli,README-Gen,best,100.0,100.0,100.0,60.0,60.0,0.0,28.57,100.0,58.1,
notes-cli,README-Gen,worst,100.0,100.0,100.0,60.0,40.0,0.0,0.0,100.0,50.0,
notes-cli,README-AI,single,57.14,66.67,100.0,80.0,80.0,0.0,0.0,33.33,48.89,README-Gen
