project,tool,aggregation,completeness_score,atrak_score,title_score,overview_score,installation_score,usage_score,api_score,license_score,correctness_score,winner_correctness
jquey,README-Gen,mean,100.0,100.0,100.0,100.0,100.0,100.0,97.98,100.0,99.66,README-Gen
jquey,README-Gen,best,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
jquey,README-Gen,worst,100.0,100.0,100.0,100.0,100.0,100.0,93.94,100.0,98.99,
jquey,README-AI,single,42.86,100.0,100.0,0.0,80.0,50.0,0.0,33.33,43.89,README-Gen
