project,tool,aggregation,completeness_score,atrak_score,title_score,overview_score,installation_score,usage_score,api_score,license_score,correctness_score,winner_correctness
git-cli,README-Gen,mean,100.0,100.0,100.0,100.0,100.0,91.67,100.0,100.0,98.61,README-Gen
git-cli,README-Gen,best,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
git-cli,README-Gen,worst,100.0,100.0,100.0,100.0,100.0,75.0,100.0,100.0,95.83,
git-cli,README-AI,single,57.14,100.0,100.0,100.0,0.0,0.0,0.0,33.33,38.89,README-Gen
